confidence,true pos,GT pos,predict pos,precision,recall
99.99962733607158,0,42771,0,0,0.0
99.9995214905505,0,42771,0,0,0.0
99.99938558253977,0,42771,0,0,0.0
99.99921107374138,0,42771,0,0,0.0
99.99898700090192,0,42771,0,0,0.0
99.99869928715334,0,42771,0,0,0.0
99.99832985781521,0,42771,0,0,0.0
99.99785550515791,0,42771,0,0,0.0
99.99724643088854,0,42771,0,0,0.0
99.99646437492582,4,42771,14,0.2857142857142857,9.352131116878258e-05
99.99546021312976,430,42771,465,0.9247311827956989,0.010053540950644127
99.99417087343389,1651,42771,1725,0.9571014492753623,0.03860092118491501
99.99251537724895,4078,42771,4288,0.9510261194029851,0.09534497673657384
99.99038975845005,8284,42771,8762,0.9454462451495093,0.19368263543054873
99.98766054240137,12569,42771,13363,0.9405822045947766,0.29386734002010706
99.98415637808975,16982,42771,18154,0.9354412250743638,0.39704472656706646
99.97965730219448,20722,42771,22120,0.9367992766726944,0.48448715250987817
99.97388096809044,23506,42771,25105,0.9363075084644493,0.5495779850833509
99.96646498695337,26226,42771,28011,0.9362750348077541,0.613172476678123
99.95694429186754,28928,42771,30865,0.9372428316863761,0.6763461223726357
99.94472213630765,30666,42771,32776,0.9356236270441787,0.7169811320754716
99.92903296008994,32163,42771,34409,0.9347263797262344,0.7519814827803886
99.90889488055994,33314,42771,35700,0.9331652661064426,0.7788922400692058
99.88304897349445,34259,42771,36738,0.9325221841145408,0.8009866498328306
99.84988177432629,34985,42771,37589,0.930724414057304,0.8179607678099647
99.80732653366725,35540,42771,38287,0.9282524094340115,0.8309368497346333
99.75273768433654,35894,42771,38744,0.9264402230022714,0.8392134857730705
99.68273171575149,36159,42771,39116,0.9244043358216587,0.8454092726380024
99.5929862284104,36405,42771,39456,0.9226733576642335,0.8511608332748826
99.47798743064416,36625,42771,39742,0.9215691208293493,0.8563045053891656
99.33071490757153,36776,42771,40006,0.9192621106833975,0.8598349348857871
99.1422514586288,36888,42771,40206,0.9174750037307865,0.862453531598513
98.90130573694069,37031,42771,40422,0.9161100390876256,0.8657969184727969
98.59363729567544,37147,42771,40606,0.9148155445008127,0.8685090364966916
98.20137900379085,37214,42771,40722,0.9138549187171553,0.8700755184587687
97.70226300899743,37276,42771,40854,0.9124198364909188,0.8715250987818849
97.06877692486437,37346,42771,40993,0.9110335911009196,0.8731617217273386
96.26731126558707,37422,42771,41157,0.9092499453312923,0.8749386266395455
95.25741268224334,37465,42771,41228,0.9087270786843893,0.8759439807346099
93.99133498259924,37535,42771,41359,0.9075412848473126,0.8775806036800636
92.41418199787566,37592,42771,41465,0.9065959242734837,0.8789132823642187
90.46505351008905,37644,42771,41560,0.9057747834456208,0.8801290594094129
88.07970779778823,37685,42771,41661,0.9045630205707976,0.8810876528488929
85.19528019683106,37735,42771,41773,0.903334689871448,0.8822566692385028
81.75744761936437,37753,42771,41825,0.9026419605499103,0.8826775151387622
77.72998611746911,37775,42771,41892,0.9017234794232789,0.8831918823501905
73.1058578630005,37825,42771,41962,0.9014108002478433,0.8843608987398003
67.91786991753929,37914,42771,42127,0.8999928786763833,0.8864417479133058
62.24593312018546,37983,42771,42270,0.8985805535841022,0.8880549905309673
56.21765008857981,38023,42771,42340,0.8980396787907416,0.888990203642655
50.0,38086,42771,42422,0.8977888831266796,0.8904631642935634
43.78234991142019,38115,42771,42474,0.8973725102415595,0.891141193799537
37.75406687981454,38171,42771,42577,0.8965168987951241,0.8924504921559
32.0821300824607,38216,42771,42670,0.895617529880478,0.8935026069065488
26.89414213699951,38249,42771,42754,0.8946297422463395,0.8942741577236912
22.270013882530883,38276,42771,42818,0.8939231164463544,0.8949054265740806
18.242552380635637,38297,42771,42912,0.8924543251304996,0.8953964134577167
14.804719803168947,38319,42771,43000,0.8911395348837209,0.895910780669145
11.920292202211755,38349,42771,43046,0.8908841704223389,0.8966121905029109
9.534946489910949,38374,42771,43126,0.8898112507536057,0.8971966986977158
7.585818002124355,38392,42771,43206,0.8885802897745684,0.8976175445979753
6.008665017400762,38415,42771,43279,0.8876129300584579,0.8981552921371958
4.742587317756678,38429,42771,43358,0.8863185571290189,0.8984826167262865
3.7326887344129456,38462,42771,43461,0.8849773360023929,0.8992541675434289
2.931223075135632,38499,42771,43568,0.8836531399192068,0.9001192396717402
2.2977369910025613,38538,42771,43671,0.882462045751185,0.9010310724556359
1.798620996209156,38564,42771,43764,0.8811808792614935,0.9016389609782329
1.4063627043245475,38582,42771,43866,0.8795422422833173,0.9020598068784924
1.098694263059318,38614,42771,43983,0.8779301093604347,0.9028079773678427
0.8577485413711984,38676,42771,44128,0.8764503263234228,0.9042575576909588
0.6692850924284856,38731,42771,44292,0.8744468527047774,0.9055434757195295
0.5220125693558397,38750,42771,44450,0.8717660292463442,0.9059877019475813
0.40701377158961277,38766,42771,44603,0.8691343631594287,0.9063617871922565
0.31726828424851894,38782,42771,44748,0.8666756056136588,0.9067358724369315
0.24726231566347742,38794,42771,44863,0.8647214854111406,0.9070164363704379
0.19267346633274757,38813,42771,45042,0.8617068513831535,0.9074606625984897
0.15011822567369917,38824,42771,45264,0.8577235772357723,0.9077178462042038
0.11695102650555148,38835,42771,45452,0.8544178473994544,0.907975029809918
0.09110511944006454,38840,42771,45638,0.8510451816468733,0.9080919314488789
0.07096703991005882,38857,42771,45917,0.8462443103861315,0.9084893970213462
0.05527786369235996,38883,42771,46243,0.8408407759012175,0.9090972855439433
0.04305570813246149,38893,42771,46654,0.8336477043769023,0.9093310888218653
