confidence,true pos,GT pos,predict pos,precision,recall
99.99962733607158,0,42771,0,0,0.0
99.9995214905505,0,42771,0,0,0.0
99.99938558253977,0,42771,0,0,0.0
99.99921107374138,0,42771,0,0,0.0
99.99898700090192,0,42771,0,0,0.0
99.99869928715334,0,42771,0,0,0.0
99.99832985781521,0,42771,0,0,0.0
99.99785550515791,0,42771,0,0,0.0
99.99724643088854,0,42771,0,0,0.0
99.99646437492582,0,42771,0,0,0.0
99.99546021312976,0,42771,0,0,0.0
99.99417087343389,0,42771,0,0,0.0
99.99251537724895,0,42771,0,0,0.0
99.99038975845005,6,42771,81,0.07407407407407407,0.0001402819667531738
99.98766054240137,110,42771,796,0.13819095477386933,0.002571836057141521
99.98415637808975,624,42771,2430,0.25679012345679014,0.014589324542330083
99.97965730219448,2368,42771,5395,0.4389249304911956,0.05536461621191929
99.97388096809044,5569,42771,10275,0.5419951338199513,0.13020504547473755
99.96646498695337,8610,42771,14962,0.5754578264937843,0.2013046222908045
99.95694429186754,11725,42771,19612,0.5978482561696921,0.27413434336349396
99.94472213630765,14602,42771,23890,0.611218082879866,0.34139954642164083
99.92903296008994,17076,42771,27418,0.6228025384783719,0.39924247737953283
99.90889488055994,19104,42771,30400,0.628421052631579,0.4466577821421056
99.88304897349445,20814,42771,32940,0.6318761384335155,0.4866381426667602
99.84988177432629,22129,42771,34927,0.6335786068084863,0.5173832737134975
99.80732653366725,22919,42771,36227,0.6326496811770227,0.535853732669332
99.75273768433654,23499,42771,37312,0.629797384219554,0.5494143227888055
99.68273171575149,24001,42771,38179,0.6286440189633045,0.5611512473404877
99.5929862284104,24389,42771,38905,0.6268860043696183,0.5702228145238596
99.47798743064416,24640,42771,39500,0.6237974683544304,0.5760912767997007
99.33071490757153,24882,42771,40000,0.62205,0.581749316125412
99.1422514586288,25119,42771,40431,0.621280700452623,0.5872904538121625
98.90130573694069,25258,42771,40751,0.6198130107236632,0.5905403193752776
98.59363729567544,25344,42771,40950,0.6189010989010989,0.5925510275654065
98.20137900379085,25418,42771,41152,0.6176613530326595,0.594281171822029
97.70226300899743,25483,42771,41319,0.6167380623926039,0.5958008931285217
97.06877692486437,25507,42771,41475,0.6149969861362267,0.5963620209955344
96.26731126558707,25542,42771,41661,0.6130913804277381,0.5971803324682612
95.25741268224334,25584,42771,41796,0.6121159919609532,0.5981623062355335
93.99133498259924,25618,42771,41920,0.6111164122137405,0.598957237380468
92.41418199787566,25643,42771,42027,0.6101553763057083,0.599541745575273
90.46505351008905,25694,42771,42173,0.6092523652573921,0.600734142292675
88.07970779778823,25737,42771,42300,0.6084397163120567,0.6017394963877394
85.19528019683106,25762,42771,42387,0.6077806874749333,0.6023240045825442
81.75744761936437,25792,42771,42479,0.6071706019444902,0.6030254144163101
77.72998611746911,25807,42771,42544,0.6065955246333208,0.603376119333193
73.1058578630005,25822,42771,42624,0.605808933933934,0.603726824250076
67.91786991753929,25827,42771,42671,0.6052588408989712,0.603843725889037
62.24593312018546,25846,42771,42710,0.6051510184968392,0.6042879521170886
56.21765008857981,25865,42771,42751,0.6050150873663774,0.6047321783451404
50.0,25876,42771,42833,0.6041136506898886,0.6049893619508545
43.78234991142019,25880,42771,42885,0.6034744083012709,0.6050828832620233
37.75406687981454,25890,42771,42943,0.6028922059474187,0.6053166865399453
32.0821300824607,25904,42771,43037,0.6019006901038642,0.605644011129036
26.89414213699951,25915,42771,43122,0.6009693427948611,0.6059011947347501
22.270013882530883,25947,42771,43286,0.5994316869195583,0.6066493652241004
18.242552380635637,25981,42771,43378,0.5989441652450551,0.6074442963690351
14.804719803168947,25996,42771,43420,0.598710271764164,0.607795001285918
11.920292202211755,26006,42771,43486,0.5980315503840317,0.60802880456384
9.534946489910949,26020,42771,43542,0.5975839419411143,0.6083561291529307
7.585818002124355,26027,42771,43599,0.5969632331016766,0.6085197914474761
6.008665017400762,26028,42771,43670,0.5960155713304328,0.6085431717752683
4.742587317756678,26035,42771,43748,0.5951129194477461,0.6087068340698136
3.7326887344129456,26039,42771,43817,0.5942670652942922,0.6088003553809824
2.931223075135632,26064,42771,43886,0.5939023834480244,0.6093848635757874
2.2977369910025613,26069,42771,43948,0.5931783016291982,0.6095017652147483
1.798620996209156,26072,42771,44081,0.5914566366461741,0.6095719061981248
1.4063627043245475,26094,42771,44195,0.5904287815363729,0.6100862734095532
1.098694263059318,26101,42771,44327,0.5888284792564351,0.6102499357040986
0.8577485413711984,26103,42771,44455,0.5871780452142616,0.610296696359683
0.6692850924284856,26103,42771,44614,0.5850853992020442,0.610296696359683
0.5220125693558397,26103,42771,44749,0.5833202976602829,0.610296696359683
0.40701377158961277,26103,42771,44852,0.5819807366449656,0.610296696359683
0.31726828424851894,26104,42771,44961,0.5805920686817464,0.6103200766874751
0.24726231566347742,26116,42771,45089,0.5792100068752911,0.6106006406209815
0.19267346633274757,26120,42771,45288,0.5767532238120473,0.6106941619321503
0.15011822567369917,26128,42771,45479,0.5745069152795795,0.6108812045544878
0.11695102650555148,26128,42771,45646,0.5724050300135828,0.6108812045544878
0.09110511944006454,26129,42771,45878,0.5695322376738305,0.61090458488228
0.07096703991005882,26130,42771,46187,0.5657436075086063,0.6109279652100722
0.05527786369235996,26141,42771,46608,0.5608693786474425,0.6111851488157864
0.04305570813246149,26149,42771,46975,0.5566577967003725,0.6113721914381239
0.03353501304664781,26149,42771,47393,0.5517481484607432,0.6113721914381239
0.026119031909571943,26150,42771,47991,0.5448938342605906,0.6113955717659162
